,first_derivative,equation,number_peaks,number_valleys,number_extrema,min,max,integral,end_value,d1_sum_unweight,d1_sum_weight_prime,d1_sum_weight_asc,d1_sum_weight_des,d1_sum_weight_end,d1_avg_unweight,d1_avg_weight_prime,d1_avg_weight_asc,d1_avg_weight_des,d1_avg_weight_end,d2_sum_unweight,d2_sum_weight_prime,d2_sum_weight_asc,d2_sum_weight_des,d2_sum_weight_end,d2_avg_unweight,d2_avg_weight_prime,d2_avg_weight_asc,d2_avg_weight_des,d2_avg_weight_end,willing,sentence,word,genre,subject,movie_choice,word_tag,sentence_tags
0,"[2.3844610741301683e-13, -1.0372127037666936e-10, 1.9167444149140672e-08, -1.9595928194971644e-06, 0.00012088337369907711, -0.004599336785724148, 0.10559194367870231, -1.3567752307576504, 8.083263289139138, -11.344677869259273]","[2.3844610741301683e-14, -1.1524585597407707e-11, 2.395930518642584e-09, -2.7994183135673775e-07, 2.0147228949846185e-05, -0.0009198673571448295, 0.026397985919675578, -0.45225841025255015, 4.041631644569569, -11.344677869259273, 55.81047663327549]",4,5,9,46.0599897326863,98.9242517119432,8322.19749135834,100.049486966029,44.239010332754,45.4108407887758,13.8935495263569,41.4052133895856,45.5494159562496,0.491544559252822,0.504564897653064,0.154372772515076,0.460057926550952,0.506104621736107,13.6810393907818,14.0555082615106,5.24333724908823,11.8579619893891,16.1351726681384,0.152011548786465,0.156172314016784,0.0582593027676471,0.131755133215434,0.179279696312648,75,It seems like the movie will have a lot of action and looks like a fun watch.,Fun,Action,1,Avatar: The Way of Water,NOUN,"['PRON', 'VERB', 'SCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']"
0,"[4.3134931726965607e-13, -1.783348686783013e-10, 3.1098584427188566e-08, -2.9757807963844583e-06, 0.00017037692966094303, -0.005979143321103559, 0.1268900787588225, -1.5458366983977685, 9.491885076617542, -19.12551929661587]","[4.313493172696561e-14, -1.9814985408700143e-11, 3.887323053398571e-09, -4.251115423406369e-07, 2.8396154943490503e-05, -0.0011958286642207118, 0.031722519689705624, -0.5152788994659229, 4.745942538308771, -19.12551929661587, 65.60486301653899]",3,4,7,63.4714027144164,76.9730609362748,6231.22667878462,83.4821326687934,17.8772696522544,25.6272681639294,13.549083091369,8.79750397394908,24.5734269297718,0.198636329469494,0.28474742404366,0.150545367681877,0.0977500441549897,0.273038076997465,27.1586220357339,25.7695574387897,12.6884200836564,21.2598574610109,35.344436519165,0.30176246706371,0.286328415986552,0.14098244537396,0.236220638455677,0.392715961324056,51,It seems action-packed and laced with adventure.,Adventurous,Adventure,1,Avatar: The Way of Water,ADJ,"['PRON', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
0,"[1.0915211917829067e-13, -3.7235108709572453e-11, 4.941521702619702e-09, -3.0458459668246264e-07, 6.4771140094799624e-06, 0.00020850205906620546, -0.014564324779214384, 0.2976017753331132, -2.268831875502468, 2.9877268990499224]","[1.0915211917829067e-14, -4.137234301063606e-12, 6.176902128274627e-10, -4.351208524035181e-08, 1.0795190015799937e-06, 4.170041181324109e-05, -0.003641081194803596, 0.0992005917777044, -1.134415937751234, 2.9877268990499224, 48.799732847483895]",4,4,8,21.6985588530325,25.3907363565673,2279.80360906018,17.0874707001111,-31.7122621473728,-32.3947476223469,-12.2845952586769,-27.3557324255392,-33.9965350169163,-0.352358468304143,-0.359941640248299,-0.136495502874187,-0.303952582505991,-0.377739277965736,1.05966119169406,0.578927147658689,3.28722939770326,-1.96265290808569,5.50209497568562,0.0117740132410451,0.0064325238628743,0.0365247710855918,-0.0218072545342854,0.0611343886187291,0,It seems lackluster and lacks the excitement that the first movie had.,Lackluster,Animation,1,Avatar: The Way of Water,ADJ,"['PRON', 'VERB', 'ADJ', 'CCONJ', 'VERB', 'DET', 'NOUN', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
0,"[1.2223162570055458e-13, -4.6703842337342334e-11, 7.44480805442246e-09, -6.398169709566609e-07, 3.1847977170154046e-05, -0.0009056392008060118, 0.012828424958906064, -0.031495236120542267, -1.190999263236029, 9.344181027804586]","[1.2223162570055458e-14, -5.18931581526026e-12, 9.306010068028075e-10, -9.140242442238013e-08, 5.307996195025675e-06, -0.00018112784016120236, 0.003207106239726516, -0.010498412040180757, -0.5954996316180144, 9.344181027804586, 40.81181741448322]",2,2,4,40.8125615946943,94.0160449751683,7722.45214278535,98.7815408176382,57.9697234031549,59.1494826922321,23.3235974414172,49.1385568125264,65.4206791434974,0.644108037812833,0.657216474358135,0.259151082682414,0.545983964583627,0.726896434927749,-2.04750589686367,-1.85005804418787,4.8086653593223,-7.36804773040188,5.03487119697375,-0.0227500655207074,-0.0205562004909763,0.0534296151035811,-0.0818671970044654,0.0559430132997084,85,It seems very entertaining and an accurate portrayal.,Entertaining,Biography,1,Avatar: The Way of Water,VERB,"['PRON', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
0,"[-5.489064779689669e-13, 2.2539874524387092e-10, -3.890119218144244e-08, 3.6573458943430733e-06, -0.00020263630224959006, 0.006664106749807596, -0.12369708138975787, 1.1306833634396551, -3.559091284843933, -0.13365608824939143]","[-5.4890647796896694e-14, 2.5044305027096768e-11, -4.862649022680305e-09, 5.224779849061534e-07, -3.3772717041598346e-05, 0.001332821349961519, -0.030924270347439466, 0.37689445447988507, -1.7795456424219664, -0.13365608824939143, 54.53309267699357]",3,3,6,29.1783506120757,40.96482794221,3713.5065219978,21.9613799220398,-32.5717127549538,-60.2810056886864,-25.6747994896349,-15.0398414540573,-51.1946792515063,-0.361907919499486,-0.669788952096515,-0.285275549884832,-0.167109349489525,-0.568829769461181,-10.3419205809,-13.4464013878553,-10.092498449917,-2.83490227620803,-21.1513625418569,-0.114910228676667,-0.149404459865059,-0.112138871665744,-0.0314989141800892,-0.235015139353965,3,"It seems boring, bland, and seems to lack an interesting script.",Boring,Drama,1,Avatar: The Way of Water,NOUN,"['PRON', 'VERB', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'CCONJ', 'VERB', 'PART', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
0,"[-2.2098435438654633e-13, 9.591216595472904e-11, -1.7706713071177005e-08, 1.810984073113503e-06, -0.00011192431189341886, 0.004271940293121236, -0.09845742325470232, 1.2692837039756633, -7.55755875174828, 10.33870499808765]","[-2.2098435438654632e-14, 1.0656907328303227e-11, -2.2133391338971256e-09, 2.5871201044478616e-07, -1.8654051982236476e-05, 0.0008543880586242471, -0.02461435581367558, 0.42309456799188777, -3.77877937587414, 10.33870499808765, 45.02559441379238]",5,4,9,4.02278314640514,5.23783105746698,770.787569026324,-1.05094630810655,-46.0765407218989,-46.8292859628019,-16.1625522007959,-41.4331237015778,-50.71065369236,-0.511961563576655,-0.520325399586688,-0.179583913342176,-0.460368041128642,-0.563451707692889,-13.1626216211985,-13.5727902558524,-5.47008851225763,-10.9831885142405,-16.0180875386471,-0.14625135134665,-0.150808780620582,-0.060778761247307,-0.122035427936005,-0.177978750429413,0,This movie seems extremely cheesy and corny.,Cheesy,Fantasy,1,Avatar: The Way of Water,NOUN,"['DET', 'NOUN', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'VERB', 'PUNCT']"
0,"[-2.306026562276556e-13, 1.0150798355299841e-10, -1.8524715371215783e-08, 1.8128372179459516e-06, -0.0001026615545903004, 0.0033798484786296424, -0.06137303331012894, 0.5359440893777719, -1.6277228020051968, 1.0544922455210703]","[-2.3060265622765558e-14, 1.1278664839222045e-11, -2.315589421401973e-09, 2.5897674542085023e-07, -1.71102590983834e-05, 0.0006759696957259285, -0.015343258327532234, 0.17864802979259065, -0.8138614010025984, 1.0544922455210703, 49.891587263260845]",4,4,8,6.47655032750438,67.024855539681,3289.36405960574,4.38021743698756,-45.5113698262733,-62.2771442716192,-38.1095466676666,-18.779665615175,-47.8032964518514,-0.505681886958592,-0.691968269684657,-0.423439407418518,-0.208662951279722,-0.531147738353904,2.37705768406147,1.6812632180444,3.75403448348173,-0.782712378404891,6.15986998861929,0.0264117520451274,0.0186807024227155,0.0417114942609081,-0.0086968042044987,0.0684429998735477,0,It seems scary and cliche for a horror film.,Cliche,Horror,1,Avatar: The Way of Water,NOUN,"['PRON', 'VERB', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']"
0,"[-1.481921870755906e-13, 5.366386435611899e-11, -7.673688174837963e-09, 5.259275241335109e-07, -1.4439923112464857e-05, -0.00022137352898239787, 0.024814181994796687, -0.5975347089791387, 5.402031074661036, -11.571760421502647]","[-1.481921870755906e-14, 5.962651595124333e-12, -9.592110218547453e-10, 7.513250344764442e-08, -2.406653852077476e-06, -4.427470579647957e-05, 0.006203545498699172, -0.19917823632637957, 2.701015537330518, -11.571760421502647, 59.52412624423413]",4,4,8,82.1174571611212,97.4328395098013,7827.99129334801,92.352877477244,32.8287512330098,28.2506169951058,8.55907360816502,32.4768654330973,29.4164501141004,0.364763902588998,0.313895744390064,0.0951008178685003,0.360854060367747,0.326849445712226,7.04398790310103,7.39404878283082,-1.65863614234892,10.4636210212252,2.02872951051773,0.0782665322566781,0.0821560975870091,-0.0184292904705436,0.116262455791391,0.0225414390057526,93,"This movie seems well-made, adventurous, and the music sounds solid.",Wellmade,SciFi,1,Avatar: The Way of Water,NOUN,"['DET', 'NOUN', 'VERB', 'ADV', 'PUNCT', 'VERB', 'PUNCT', 'ADJ', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'VERB', 'ADJ', 'PUNCT']"
1,"[1.5671223655888573e-13, -5.853416314856582e-11, 9.345825881421885e-09, -8.381997363073394e-07, 4.6539169331576575e-05, -0.0016525408565205455, 0.0371402893726763, -0.49936755923975473, 3.435298284010745, -6.030174517381068]","[1.5671223655888572e-14, -6.503795905396202e-12, 1.1682282351777356e-09, -1.1974281947247706e-07, 7.75652822192943e-06, -0.0003305081713041091, 0.009285072343169075, -0.16645585307991825, 1.7176491420053726, -6.030174517381068, 54.16458023612601]",2,3,5,87.8466646856147,101.388833827176,7761.89711548286,86.6476825871954,32.4831023510694,46.6174873086965,2.86491809617422,37.7389598426625,28.1040928012453,0.360923359456327,0.517972081207739,0.0318324232908247,0.419321776029584,0.312267697791614,22.9069150379854,21.9895515581756,17.9465128560397,10.6871309414421,38.7401666338263,0.254521278199838,0.244328350646396,0.199405698400441,0.118745899349357,0.430446295931404,70,"Sequel in the mission impossible series, lots of action ",action,Action,2,Knock at the Cabin,NOUN,"['VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN']"
1,"[-1.7977499164020048e-13, 1.0656963129108575e-10, -2.4613155572644016e-08, 2.963039647531343e-06, -0.00020484893057664657, 0.008321475993178788, -0.19324582612993724, 2.360653959641793, -12.738533267009405, 20.539441375176676]","[-1.7977499164020046e-14, 1.1841070143453972e-11, -3.076644446580502e-09, 4.232913782187633e-07, -3.4141488429441095e-05, 0.0016642951986357575, -0.04831145653248431, 0.786884653213931, -6.369266633504703, 20.539441375176676, 34.90125174746485]",4,4,8,30.6844263782623,86.6289918542273,6118.73849691578,113.044114918284,78.1428631708193,55.3345632797673,52.8547653299418,44.8238136335822,107.419170565468,0.868254035231325,0.614828480886303,0.587275170332687,0.498042373706469,1.19354633961631,-1.83270206134466,-8.20042618589227,12.8101093377871,-15.100986914468,16.5247122943302,-0.0203633562371629,-0.0911158465099141,0.142334548197635,-0.167788743494089,0.183607914381447,45,Live action adventure of dungeons & dragons game ,action,Adventure,2,Knock at the Cabin,NOUN,"['ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN']"
