"X","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_response","att_check_1","att_check_2","att_check_3_1","att_check_3_2","att_check_3_3","att_check_4","comp_check_1","comp_check_2","comp_check_3","plot_names","hiring_likelihood","word_gen","subject","comp_check_7","comp_check_8","comp_check_9","politics_1","gender","gender_4_TEXT","ethnicity","ethnicity_5_TEXT","age","education","education_9_TEXT","comments","StudyID","attention_check","attention_check2","comp_check","n_after_exclusions","embeddings","interestingness","sentiment_score","is_word"
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","linear_rise",93,"good",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,0.00393134624042968,62,0.569373607635498,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","linear_fall",0,"disappointing",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,-0.000631657450234375,79,-0.802764624357224,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","linear_low",0,"unworkable",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,-0.00237002497316406,59,-0.799973487854004,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","linear_middle",40,"bland",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,0.000283746634238281,37,-0.77855496108532,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","linear_high",100,"superlative",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,0.00149855747442578,52,0.516109585762024,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","exp_rise_convex",86,"impressive",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,0.000487230222832031,90,0.662636518478394,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","exp_fall_convex",2,"ugly",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,0.00192753907859375,83,-0.814335599541664,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","exp_rise_concave",95,"super",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,0.00478119948891407,88,0.707043170928955,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","exp_fall_concave",1,"unfortunate",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,0.000151421354246093,93,-0.807487621903419,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","sin_fr_full",83,"tumultuous",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,-0.0000792482380859374,102,-0.792900040745735,TRUE
1,"3/7/22 15:13","3/7/22 15:18","IP Address",100,326,TRUE,"3/7/22 15:18","R_2c0gHkeZ2sY0jWz",NA,NA,NA,NA,43.08180237,-87.89199829,"anonymous","EN","Yes","Paul","Purple",NA,NA,NA,NA,80,0,"I was highly unstressed by the candidate early in their interview, then highly stressed by the candidate later in their interview. ","sin_fr_partial",90,"firm",1,"Perceived Performance","Time","Indicate how likely it was that you would hire the candidate",0,"Male",NA,"White","",35,"High School or Equivalent","","No idea how I was supposed to come up with that many different words for graphs.","lifelines_e5",0,1,0,141,0.000800401751291014,95,-0.0911509394645691,TRUE
